sensor_addr,totals,leaks
f0734cfb63d34c95,59041,0
f10044407c6f4b3b,27556,0
f242398ff43a12c3,62870,0
f38a8665b69dd182,91374,0
f3aa4f9c8aff8e44,91373,0
f3d1627b4490039a,425617,10070
f4379dcfeddb3c3b,73578,0
f4430eefa32234e2,60976,0
f53b0e0abd701380,618214,5707
f5a7908a07b6c9ad,67680,0
f622ef8df788347f,140996,0
f6b006492ef3328d,55427,0
f6e7a4920ebec359,44957,0
f76c96b44a5be2af,135774,0
f801ad4189fe3542,128136,0
f8d8d3d87ad6f961,72591,0
f8ee7032fb52d72d,100377,0
f952315de2fa5984,91852,0
fa94e727ee7ad083,2572997,26922
fb3d0da9c3414e55,27217,0
fb8317a20363a237,54165,0
fc00d1000cc185ba,77951,0
fd7f51b1d9c19af5,51436,0
ff2391ce4ae36c57,160717,0
ffaf653d378be43a,48914,0
ffbc98e7187b81a6,109578,0
